drug1	drug2	DME	TWOSIDES condition name	PRR	PRR error	mean reporting freq	
aspirin	mirtazapine	myocardial infarction	myocardial infarction	1.34529	0.135682	0.0272356	
aspirin	mirtazapine	myocardial infarction	silent myocardial infarction	3.33333	1.15448	0.000453926	
aspirin	mirtazapine	pancreatitis	pancreatitis	2.0	0.250317	0.0086246	
aspirin	mirtazapine	pancreatitis	pancreatitis acute	4.4	0.361123	0.00499319	
aspirin	mirtazapine	pancreatitis	pancreatitis chronic	7.5	0.763436	0.00136178	
chlorpromazine	ziprasidone	delirium	delirium	3.33333	0.814495	0.00593472	
hydrochlorothiazide	clozapine	myocardial infarction	myocardial infarction	0.666667	0.591979	0.0139535	
hydrochlorothiazide	clozapine	hypertension	hypertension	2.5	0.416479	0.0325581	
sulfasalazine	aspirin	pneumonia	eosinophilic pneumonia	5.0	1.22413	0.00137174	
sulfasalazine	aspirin	sepsis	neutropenic sepsis	70.0	1.06834	0.00960219	
sulfasalazine	aspirin	pancreatitis	pancreatitis	1.47059	0.477392	0.00685871	
sulfasalazine	aspirin	pancreatitis	pancreatitis acute	1.0	1.04809	0.00137174	
sulfasalazine	aspirin	pneumonia	pneumonia staphylococcal	5.0	1.22413	0.00137174	
sulfasalazine	aspirin	sepsis	staphylococcal sepsis	2.5	1.11736	0.00137174	
sulfasalazine	aspirin	pneumonia	pneumonia streptococcal	10.0	1.41368	0.00137174	
sulfasalazine	aspirin	sepsis	streptococcal sepsis	10.0	1.41368	0.00137174	
sulfasalazine	aspirin	pneumonia	pneumocystis jiroveci pneumonia	12.5	0.669695	0.00685871	
sulfasalazine	aspirin	pneumonia	bronchopneumonia	3.75	0.675888	0.00411523	
sulfasalazine	aspirin	pneumonia	lobar pneumonia	6.66667	0.912044	0.00274348	
sulfasalazine	aspirin	pneumonia	pneumonia	2.7027	0.202073	0.0411523	
sulfasalazine	aspirin	sepsis	bacterial sepsis	10.0	1.41368	0.00137174	
sulfasalazine	aspirin	sepsis	sepsis	3.6	0.272115	0.0246914	
sulfasalazine	aspirin	pneumonia	pneumonia aspiration	3.33333	0.815572	0.00274348	
hydrochlorothiazide	clomipramine	myocardial infarction	myocardial infarction	0.909091	1.03621	0.015625	
ascorbic acid	carvedilol	edema	localised oedema	5.0	1.22395	0.0017762	
ascorbic acid	carvedilol	edema	oedema peripheral	3.13433	0.246152	0.0373002	
ascorbic acid	carvedilol	edema	acute pulmonary oedema	3.33333	1.15385	0.0017762	
ascorbic acid	carvedilol	edema	pulmonary oedema	5.29412	0.409855	0.0159858	
ascorbic acid	carvedilol	edema	macular oedema	10.0	1.41352	0.0017762	
ascorbic acid	carvedilol	edema	lip oedema	5.0	1.22395	0.0017762	
ascorbic acid	carvedilol	edema	face oedema	1.42857	1.06813	0.0017762	
ascorbic acid	carvedilol	edema	generalised oedema	20.0	0.864897	0.0071048	
ascorbic acid	carvedilol	edema	oedema	3.15789	0.466202	0.0106572	
ascorbic acid	carvedilol	edema	angioedema	2.0	0.773334	0.0035524	
ascorbic acid	carvedilol	edema	brain oedema	1.42857	1.06813	0.0017762	
ascorbic acid	carvedilol	edema	pharyngeal oedema	0.769231	1.03681	0.0017762	
aspirin	amitriptyline	myocardial infarction	acute myocardial infarction	3.98058	0.183843	0.0112144	
aspirin	amitriptyline	myocardial infarction	myocardial infarction	1.90709	0.0856264	0.0426696	
aspirin	amitriptyline	myocardial infarction	silent myocardial infarction	7.5	0.763566	0.000820569	
hydrochlorothiazide	clonidine	myocardial infarction	acute myocardial infarction	5.12821	0.273957	0.0107066	
hydrochlorothiazide	clonidine	myocardial infarction	myocardial infarction	1.83879	0.125015	0.0390792	
hydrochlorothiazide	clonidine	hypertension	pulmonary arterial hypertension	1.0	1.04853	0.000535332	
hydrochlorothiazide	clonidine	hypertension	pulmonary hypertension	2.42424	0.393337	0.00428266	
hydrochlorothiazide	clonidine	hypertension	accelerated hypertension	30.0	1.15445	0.001606	
hydrochlorothiazide	clonidine	hypertension	essential hypertension	4.0	0.836308	0.00107066	
hydrochlorothiazide	clonidine	hypertension	hypertension	7.73148	0.100144	0.0894004	
aspirin	diphenhydramine	myocardial infarction	acute myocardial infarction	3.63636	0.219825	0.0096253	
aspirin	diphenhydramine	myocardial infarction	myocardial infarction	1.3257	0.116637	0.0278446	
bivalirudin	metoclopramide	myocardial infarction	myocardial infarction	10.0	1.38969	0.0625	
sumatriptan	clopidogrel	myocardial infarction	acute myocardial infarction	6.66667	0.904345	0.028169	
sumatriptan	clopidogrel	myocardial infarction	myocardial infarction	6.66667	0.388811	0.140845	
tinzaparin	clopidogrel	myocardial infarction	acute myocardial infarction	10.0	1.4088	0.0138889	
tinzaparin	clopidogrel	myocardial infarction	myocardial infarction	0.833333	1.03347	0.0138889	
hydrochlorothiazide	trimipramine	myocardial infarction	myocardial infarction	1.66667	1.06793	0.0238095	
tramadol	prasugrel	myocardial infarction	myocardial infarction	5.0	0.440358	0.12963	
aspirin	citalopram	myocardial infarction	acute myocardial infarction	3.48837	0.172518	0.00866718	
aspirin	citalopram	myocardial infarction	myocardial infarction	1.62833	0.0797359	0.0340909	
aspirin	citalopram	myocardial infarction	silent myocardial infarction	5.0	1.22466	0.000192604	
ambrisentan	tiotropium	hypertension	pulmonary arterial hypertension	13.3333	0.538309	0.0137457	
ambrisentan	tiotropium	hypertension	pulmonary hypertension	32.8571	0.429471	0.0395189	
ambrisentan	tiotropium	hypertension	hypertension	0.175439	1.0078	0.00171821	
clonidine	pramipexole	sepsis	sepsis	2.5	0.782971	0.0217391	
aspirin	cyclobenzaprine	myocardial infarction	acute myocardial infarction	7.85714	0.200261	0.0191972	
aspirin	cyclobenzaprine	myocardial infarction	myocardial infarction	2.86624	0.0951347	0.0589005	
aspirin	cyclobenzaprine	myocardial infarction	silent myocardial infarction	5.0	0.865748	0.0008726	
ambrisentan	amitriptyline	hypertension	pulmonary arterial hypertension	15.0	0.639511	0.041958	
ambrisentan	amitriptyline	hypertension	pulmonary hypertension	50.0	1.09193	0.034965	
ambrisentan	amitriptyline	hypertension	hypertension	1.0	1.04514	0.00699301	
aspirin	tramadol	myocardial infarction	acute myocardial infarction	5.11111	0.147317	0.0124034	
aspirin	tramadol	myocardial infarction	myocardial infarction	1.86908	0.0726078	0.0390077	
aspirin	tramadol	myocardial infarction	silent myocardial infarction	4.0	0.836542	0.000359518	
sucralfate	metoprolol	gastric ulcer	gastric ulcer	16.25	0.447132	0.0235935	
sucralfate	metoprolol	gastric ulcer	gastric ulcer haemorrhage	30.0	1.15384	0.00544465	
ambrisentan	pilocarpine	hypertension	pulmonary hypertension	30.0	1.12935	0.157895	
